name,omega,A,delta_phi_deg,A_dB
Ausschwingen,,,,
omega_n,15.086,53.662,-86.53846153846158,14.136524881121248
omega_r,15.056,50.295,-82.87769784172659,13.57368403215947
0.5Hz,3.364,9.929,-2.312633832976448,-0.5187020036172321
0.7Hz,4.696,10.281,1.0762331838565031,-0.21610503453996968
1.0Hz,6.713,11.365,-4.6153846153846185,0.6545765836892371
1.3Hz,8.56,13.604,-8.828337874659413,2.2165202476831363
1.5Hz,9.864,16.169,-10.172684458398754,3.716851003217781
2.0Hz,12.911,31.233,-23.65503080082129,9.435461806408197
2.5Hz,15.847,43.371,-120.0,12.287176497280113
3.0Hz,18.812,14.991,-155.20958083832338,3.0597998657144294
4.0Hz,24.705,5.647,-160.1574803149606,-5.42045646279297
5.0Hz,30.687,2.923,-168.58536585365852,-11.14023591038183
