series,name,T,u,y,delta_phi_t,delta_phi_rad,delta_phi_deg,omega,A,f,o2
Lasse,Resonanzfrequenz,0.423,1.796,1.892,-0.2269503546099288,-1.4259711335443013,-81.70212765957436,14.85,51.094,2.3640661938534278,14.853865974419826
Lasse,Eigenkreisfrequenz,0.417,0.031,0.132,-0.2422062350119905,-1.5218266571346242,-87.19424460431654,15.068,54.58,2.3980815347721824,15.06759066469925
Lasse,0.5Hz,1.868,0.812,0.8140000000000001,-0.0010706638115631107,-0.00672717912974223,-0.38543897216271983,3.364,9.73,0.5353319057815845,3.3635895648712983
Lasse,0.75Hz,1.252,2.98,2.98,0.0,0.0,0.0,5.019,10.291,0.7987220447284346,5.018518615958136
Lasse,1.0Hz,0.945,0.496,0.504,-0.008465608465608473,-0.05319098672744628,-3.0476190476190497,6.647,11.312,1.0582010582010584,6.6488733409307805
Lasse,1.5Hz,0.64,1.732,1.7480000000000002,-0.025000000000000026,-0.1570796326794898,-9.000000000000009,9.817,15.623,1.5625,9.817477042468104
Lasse,2.0Hz,0.489,0.312,0.34,-0.057259713701431535,-0.3597733918221443,-20.61349693251536,12.86,29.307,2.044989775051125,12.849049707933714
Lasse,3.0Hz,0.335,0.792,0.936,-0.4298507462686567,-2.7008318932354043,-154.7462686567164,18.781,14.383,2.9850746268656714,18.75577703635697
Lasse,4.0Hz,0.255,0.76,0.8759999999999999,-0.4549019607843137,-2.858233316207184,-163.7647058823529,24.599,4.918,3.9215686274509802,24.639942381096414
Lasse,5.0Hz,0.205,0.206,0.302,-0.4682926829268293,-2.9423697048255626,-168.58536585365852,30.65,2.968,4.878048780487805,30.649684425266273
Sebastian,Ausschwingen,,,,,,,,,,
Sebastian,Kennkreisfrequenz,0.416,0.462,0.562,-0.2403846153846155,-1.5103810834566318,-86.53846153846158,15.085999999999999,53.662,2.4038461538461537,15.103810834566312
Sebastian,Resonanzfrequenz,0.417,0.612,0.708,-0.23021582733812945,-1.4464887038111276,-82.87769784172659,15.056,50.295,2.3980815347721824,15.06759066469925
Sebastian,0.5Hz,1.868,3.036,3.048,-0.00642398286937902,-0.04036307477845562,-2.312633832976448,3.364,9.929,0.5353319057815845,3.3635895648712983
Sebastian,0.7Hz,1.338,2.3080000000000003,2.3040000000000003,0.00298953662182362,0.018783812577517458,1.0762331838565031,4.696000000000001,10.281,0.7473841554559043,4.695953144379362
Sebastian,1.0Hz,0.936,1.0759999999999998,1.088,-0.01282051282051283,-0.08055365778435374,-4.6153846153846185,6.712999999999999,11.365,1.0683760683760684,6.712804815362806
Sebastian,1.3Hz,0.7340000000000001,1.834,1.852,-0.0245231607629428,-0.15408356339132515,-8.828337874659413,8.56,13.604,1.3623978201634876,8.560197966184722
Sebastian,1.5Hz,0.637,0.606,0.624,-0.028257456828885426,-0.17754683756551434,-10.172684458398754,9.863999999999999,16.169,1.5698587127158556,9.863713198084124
Sebastian,2.0Hz,0.487,0.544,0.5760000000000001,-0.06570841889117028,-0.4128581721350026,-23.65503080082129,12.911,31.233,2.053388090349076,12.901817879218864
Sebastian,2.5Hz,0.396,0.362,0.494,-0.3333333333333333,-2.094395102393196,-120.0,15.847000000000001,43.371,2.525252525252525,15.866629563584812
Sebastian,3.0Hz,0.334,0.258,0.402,-0.4311377245508982,-2.708918216269044,-155.20958083832338,18.812,14.991,2.994011976047904,18.81193205742391
Sebastian,4.0Hz,0.254,0.588,0.701,-0.44488188976377946,-2.7952753531940675,-160.1574803149606,24.705,5.647,3.937007874015748,24.736950028266087
Sebastian,5.0Hz,0.205,0.685,0.7809999999999999,-0.4682926829268292,-2.9423697048255617,-168.58536585365852,30.686999999999998,2.923,4.878048780487805,30.649684425266273
